awardee,awarder,label,order_date,scope_of_work,Prediction
Undisclosed,"Local Self Government Department, Kerala",roads infra,28-09-2017 00:00,"P A Saidalavi bagged a contract for Sreekrishnapuram Block NABARD-RIDF XXI- Kottappuram Kavunda Cheerakuzhi-Parambottukunnu Thottara Road in Karimpuzha Grama Panchayath, Palakkad district of Kerala.",roads infra
Westinghouse Saxby Farmer Ltd.,"Public Works Department, West Bengal",public space infra,7/6/2017 0:00,"Westinghouse Saxby Farmer bagged a contract for construction of perimeter wall, construction of new surface drain with renovation of existing drain, construction of 10 nos. watch towers, construction of feed godown at CSAHF, Salboni in Midnapore district of West Bengal.",public space infra
H. G. Infra Engineering Pvt. Ltd.,Modern Road Makers Pvt. Ltd.,roads infra,27-06-2018 00:00,H. G. Infra Engineering bagged a contract for six laning of Hapur bypass to Moradabad section including Hapur Bypass from km 50.00 (Design Ch. km 50.00) to km 148.277 (Design Ch. km 149.867) (excluding Hastinapur Wild life Section) of NH-24 (New NH-9) in the state of Uttar Pradesh on EPC basis under NHDP Phase V Project. ,roads infra
Undisclosed,Indian Oil Corpn. Ltd.,public space infra,10/10/2017 0:00,"Anjani Infra bagged a contract for construction of new A site retail outlet near Ambedkar Circle (approx. within 2KM radius), Bidar City, under Bellary DO, Karnataka.",public space infra
Brilliant Developers,"Public Works Department, Odisha",roads infra,10/1/2019 0:00,Brilliant Developers bagged a contract for construction of ring road of Balangir town from 13.325 km to 14.050 km and from 15.00 km to 15.995 km in Balangir district of Odisha. (Contact details are not available),roads infra
Undisclosed,Odisha State Police Housing & Welfare Corpn. Ltd.,public space infra,31-07-2018 00:00,Subrat Mohapatra bagged a contract for construction of additional floor for District Court Building at Nowrangpur district of Odisha.,public space infra
Undisclosed,Hindustan Steelworks Construction Ltd.,public space infra,26-09-2018 00:00,"Ajay Enterprise bagged a contract for construction of 3 nos storage shed including development works for No.3 MGR Assam Rifles at Jorhat, Assam (Package- 9) ",public space infra
"Bimalendu Bose, West Bengal","Public Works Department, West Bengal",public space infra,15-09-2017 00:00,Bimalendu Bose bagged a contract for construction of 2 storied Karmatirtha at Raninagar- II block in Murshidabad district of West Bengal. (Contact details are not available),public space infra
Saibaba Construction,"Public Works Department, Maharashtra",roads infra,19-09-2018 00:00,"Saibaba Construction bagged a contract for improvement to road from NH-7 to Shankarpur Vela Kanhalgaon Hudkeshwar Adyali Umargaon Pandharkawada Temasana Dighori Garla Ambadi Kesori Bhamewada to MDR-33 (MDR-45) from km 23.00 to km 40.00 (Tackled Length 30.200 km to 32.945 km) in Kamptee Taluka, Nagpur district of Maharashtra. (Contact details are not available)",roads infra
Sawaliya Construction Co.,Madhya Pradesh Road Devp. Corpn. Ltd.,bridges infra,28-04-2018 00:00,"Sawaliya Construction Co., bagged a contract for repair & rehabilitation of a high level bridge on Narmada River in km. 35.000 to km. 35.800 on Budni-Itarsi Road (NH-69) in Madhya Pradesh.",bridges infra
"Kamdhenu, Jharkhand","Rural Development Department, Jharkhand",bridges infra,13-11-2017 00:00,Kamdhenu bagged a contract for construction of bridge (Residual work) across Batane River in between Kharagpur and Dhab of Hariharganj block in Palamau district of Jharkhand.,bridges infra
Undisclosed,"Public Works Department, Maharashtra",roads infra,27-02-2017 00:00,"Sai Siddhanath Construction bagged a contract for widening and STBT to Kalyan-Hajimalang Road, SH- 85 from Km 9.500 to 16.500 (Widening by 5.50 to 7.00) at Taluk Ambernath in Thane district of Maharashtra.",roads infra
Vishal Infrastructure Ltd.,Airports Authority of India,Air Infra,19-09-2018 00:00,Vishal Infrastructure bagged a contract for extension of apron & allied works at Madurai Airport of Tamil Nadu.,Air Infra
The Braithwaite Burn and Jessop Construction Co.Ltd.,Ircon International Ltd.,bridges infra,28-02-2017 00:00,"The Braithwaite Burn & Jessop Construction Co., bagged a contract for fabrication, supply, erection & completing of superstructure for bridge No.2 & 3 (in Sumber station yard) & bridge No.61 (over Tatsun Nallah) on Katra-Qazigund Section of Udhampur-Srinagar-Baramulla New BG Railway Line Project. (Package: Bridge- 2, 3 & 61)",bridges infra
NSC Projects Pvt. Ltd.,Airports Authority of India,Air Infra,16-08-2018 00:00,"NSC Projects bagged a contract for extension of runway along with strengthening of existing runway, apron and provision of RESA and associated works for code E type aircraft at Tirupati Airport, Andhra Pradesh. ",Air Infra
Kalpataru Power Transmission Ltd.,Power Grid Corpn. of India Ltd.,ptd infra,17-05-2017 00:00,"Kalpataru Power Transmission bagged a contract for Tower Package- TW08 for 800 kV HVDC Raigarh-Pugalur transmission line (Part- VIII) (Approx Length- 190 kms) associated with HVDC Bipole link between Western Region (Raigarh, Chhattisgarh) and Southern Region (Pugalur, Tamil Nadu)- North Trichur (Kerala). (Package No- CC-CS/651-SR1/TW-3576/3/G10)",ptd infra
Undisclosed,Maharashtra Rural Road Devp. Association,roads infra,24-08-2018 00:00,"Rajkamal Construction Co., bagged a contract for SH-222 to Manubal Jawla Road from km 0.00 to 3.700 km, NH-222 to Manzra Kambi Road from km 0.00 to km 2.200, NH-222 to Nandpur Road from km 0.00 to km 2.550 and SH-222 to Shripat Antarwala Road km 0.00 to km 4.00 in Taluka Georai, Bid district of Maharashtra.",roads infra
Undisclosed,"Rural Development Department, Jharkhand",public space infra,22-05-2017 00:00,"Ashok Mandal, Jamtara bagged a contract for construction of block office at Block Dumka in Jharkhand.",public space infra
Satyam Builders,"Rural Development Department, Jharkhand",public space infra,24-03-2017 00:00,Satyam Builders bagged a contract for construction of block building at Sadar block in Pashchimi Singhbhum district of Jharkhand.,public space infra
RPP Infra Projects Ltd.,Gujarat Water Supply & Sewerage Board,wet infra,6/2/2019 0:00,RPP Infra Projects in JV bagged a contract for Package 6 of the Samarsingi Cluster in Gujarat.,public space infra
ACE Environment Friendly Solutions,Ircon International Ltd.,solar,1/1/2018 0:00,"ACE Environment Friendly Solutions bagged a contract for supply, installation, testing and commissioning of 3x10KW, 3 phase, 415 V grid connected rooftop solar power plant without battery bank and provision of LED lighting at Janta Adarsh Andh Vidyalaya, Sadiq Nagar New Delhi. ",solar
Sikka Associates Architects,NBCC (India) Ltd.,Consulting - Railways,28-11-2017 00:00,Sikka Associates Architects bagged a contract for design and engineering consultancy services for development/Re-development of Puducherry Railway Station and land parcels on behalf of Ministry of Railway.,Consulting - Railways
"Alka Construction Corpn., Jharkhand",Indian Oil Corpn. Ltd.,public space infra,27-02-2018 00:00,"Alka Construction Corpn., bagged a contract for construction of new A site retail outlet with facilities like sales building paver block driveway and other allied civil and electrical works at location between KM Stone 341-343 Jalaun district of Uttar Pradesh under Kanpur Divisional Office of UPSO-I.",public space infra
"C L Abdulla, Kerala","Public Works Department, Kerala",public space infra,19-05-2017 00:00,"C L Abdulla, Kerala bagged a contract for construction of District Ayurveda Hospital Padannakkad in Kasaragod district of Kerala. (Contact details are not available)",public space infra
G Dorayya & Co.,"Panchayat Raj Engineering Department, Andhra Pradesh",roads infra,9/3/2017 0:00,G Dorayya bagged a contract for construction of Valasapakaluto Kothuru of Kakinada Rural Mandal in Andhra Pradesh. (Package No. 33) (Contact details are not available),roads infra
